Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1704304348.332722,24121,0,1
1,NewOrder,1704304348.356860,35036,0,1
2,Payment,1704304348.391912,3739,0,1
1,NewOrder,1704304348.395668,26223,0,1
2,Payment,1704304348.421907,4219,0,1
4,Delivery,1704304348.426139,43549,0,1
1,NewOrder,1704304348.469704,41450,0,1
2,Payment,1704304348.511171,36661,0,1
1,NewOrder,1704304348.547848,42381,0,1
1,NewOrder,1704304348.590244,20115,0,1
2,Payment,1704304348.610376,36608,0,1
2,Payment,1704304348.647000,30946,0,1
2,Payment,1704304348.677963,21687,0,1
2,Payment,1704304348.699666,22250,0,1
1,NewOrder,1704304348.721932,35902,0,1
2,Payment,1704304348.757851,31346,0,1
2,Payment,1704304348.789226,20010,0,1
2,Payment,1704304348.809252,36667,0,1
2,Payment,1704304348.845935,29769,0,1
1,NewOrder,1704304348.875721,37882,0,1
1,NewOrder,1704304348.913634,5233,0,1
2,Payment,1704304348.918880,3401,0,1
2,Payment,1704304348.922298,3762,0,1
2,Payment,1704304348.926074,3073,0,1
1,NewOrder,1704304348.929159,6520,0,1
1,NewOrder,1704304348.935695,4884,0,1
2,Payment,1704304348.940592,3010,0,1
2,Payment,1704304348.943612,3051,0,1
